firstname,lastname,company,phone,email,website,address,city,country,hs_lead_status,rating,review_count,quality_score,extraction_method,extraction_date
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062107
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062113
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062119
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062136
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062157
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062167
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,81,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062174
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062180
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062187
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062193
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062200
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062206
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062212
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062219
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062225
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062231
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062237
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062243
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062249
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062255
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062261
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062267
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062273
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062279
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062285
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062291
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062335
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062343
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062349
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062355
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062361
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062367
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062373
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062379
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062384
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062390
